0 à 4 ans	0 à 4 ans	2
5 à 9 ans	5 à 9 ans	7
10 à 14 ans	10 à 14 ans	12
15 à 19 ans	15 à 19 ans	17
20 à 24 ans	20 à 24 ans	22
25 à 29 ans	25 à 29 ans	27
30 à 34 ans	30 à 34 ans	32
35 à 39 ans	35 à 39 ans	37
40 à 44 ans	40 à 44 ans	42
45 à 49 ans	45 à 49 ans	47
50 à 54 ans	50 à 54 ans	52
55 à 59 ans	55 à 59 ans	57
60 à 64 ans	60 à 64 ans	62
65 à 69 ans	65 à 69 ans	67
70 à 74 ans	70 à 74 ans	72
75 à 79 ans	75 à 79 ans	77
80 à 84 ans	80 à 84 ans	82
85 à 89 ans	85 à 89 ans	87
90 à 94 ans	90 à 94 ans	92
95 à 99 ans	95 à 99 ans	97
100 ans et plus	100 ans et plus	102
